### based on codes available for free here: http://vag-codes.info/files/options/vag-option-codes.xlsx
### VAG option codes		http://vag-codes.info/
### 14288 option codes with description		
### 297 new codes		
### updated 13.01.2018		
### code	group	description
#38	MOT	4-cyl. turbo dies. eng. 1.6 l/92 kW (4V)TDI common rail ABT power enhancement
#7U	STR	Engine start and remote start feature without keyless locking and starting system
#AT	BRS	
#B1	BRS	ESC special vehicle 1
#B2	BRS	ESC special vehicle 2
#B3	BRS	ESC special vehicle 3
#B4	BRS	ESC special vehicle 4
#B5	BRS	ESC special vehicle 5
#B6	BRS	ESC special vehicle 6
#B7	BRS	ESC special vehicle 7
#B8	BRS	ASR application matched to special-purpose vehicle 1
#B9	BRS	ASR application matched to special-purpose vehicle 2
#BA	BRS	ESC special vehicle 8
#BB	BRS	ESC special vehicle 9
#BC	BRS	ESC special vehicle 10
#BD	BRS	ESC special vehicle 11
#BE	BRS	ESC special vehicle 12
#BF	BRS	ESC special vehicle 13
#BG	BRS	ESC special vehicle 14
#BH	BRS	ESC special vehicle 15
#BJ	BRS	ESC special vehicle 16
#BK	BRS	ESC special vehicle 17
#BL	BRS	ESC special vehicle 18
#BM	BRS	ESC special vehicle 19
#BN	BRS	ESC special vehicle 20
#BP	BRS	ESC special vehicle 21
#D0	AHV	Trailer hitch aftermarket equipment, removable and lockable
#D1	AHV	Trailer hitch aftermarket equipment, mechanically swiveling, manual
#D2	AHV	Trailer hitch aftermarket equipment, power-folding
#D3	AHV	Trailer hitch aftermarket equipment, USA
#D4	AHV	Trailer hitch aftermarket equipment, Australia
#D5	AHV	Trailer hitch aftermarket equipment, mechanically swiveling with reduced towing capacity
#D6	AHV	Trailer hitch aftermarket equipment, removable with reduced ventilation capacity
#D7	AHV	Trailer hitch aftermarket equipment, power-swiveling with reduced ventilationcapacity
#D8	AHV	Trailer hitch aftermarket equipment, rigid
#D9	AHV	Trailer hitch aftermarket equipment, power-swiveling with maneuvering system
#E1	AHV	Trailer hitch aftermarket equipment, electr. swiveling w/ reduced ventilationcapacity and maneuvering system
#E2	AHV	Trailer hitch aftermarket equipment, without trailer control module
#E3	AHV	Retrofitting of trailer hitch, with reduced ventilation capacity for Australia/New Zealand
#H1	REI	New coding of instrument cluster due to changed tires, new 245/75 R16
#H2	REI	New coding of instrument cluster due to changed tires, new 215/85 R16
#H3	REI	New coding of instrument cluster due to changed tires, new 285/75 R16
#I2	TKV	Recoding of 4I2 with activated auto-lock feature
#I3	TKV	Recoding of 4k3 with activated auto-lock feature
#J1	HES	Coding for rear spoiler fixed spoiler
#K1	FLS	Recoding 8K1 deactivation separate daytime running lights
#K3	FLS	Recoding 8K3 deactivation separate daytime running lights
#L1	ONL	Online Connectivity Unit deactivation without head unit coding
#L5	ONL	Online Connectivity Unit deactivation with head unit coding
#M9	ZUH	Retrofitting of fuel-fired parking heater with radio remote control
#N3	SWS	Reactivation of the rain sensor
#SK	SBR	LED tail lamp assembly as aftermarket equipment
#U2	STR	Aftermarket equipment remote start feature recoding of 7U2
#W3	CPD	Recoding of IW3
#X5	ESZ	Recoding GX5, decoding of the warning signal
#XI	ASE	Ext. mirror, auto-dimming, el. folding/ adjust., separately heated, w/ front pass. exterior mirror lowering function
#ZP	BAV	Disk brakes in front 15-inch " PC57-25/14 Jurid 200-FF
0E2	RST	Long wheelbase
0E3	RST	Medium wheelbase
0E4	RST	Medium wheelbase type 2
0E5	RST	Medium wheelbase type 3
0E6	RST	Long wheelbase
0E7	RST	Long wheelbase
0E8	RST	Medium wheelbase type 2
0E9	RST	Wheelbase for special purpose vehicles
0EA	EDF	Installation differentiation for transmission MQ100 -- vehicle components --
0EB	EDF	Installation differentiation for transmission MQ170 -- vehicle components --
0EC	EDF	Installation differentiation for transmission "MQ 200_GA" -- vehicle components --
0ED	EDF	Installation differentiation for transmission MQ 380 -- vehicle components --
0EE	EDF	Installation differentiation for standard transmission
0EF	EDF	Installation differentiation for transmission HP24 -- vehicle components --
0EG	EDF	Installation differentiation for dual-clutch transv. transmission DQ200 -- vehicle components --
0EH	EDF	Installation differentiation for transmission 085 -- vehicle components --
0EI	EDF	Installation differentiation for transmission SQ 100 -- vehicle components --
0EJ	EDF	Installation differentiation for transmission MQ 250 -- vehicle components --
0EK	EDF	Installation differentiation for transmission SK -- vehicle components --
0EL	EDF	Installation differentiation for transmission AG4 -- vehicle components --
0EM	EDF	Installation differentiation for transmission MQ 200 -- vehicle components --
0EN	EDF	Installation differentiation for transmission MQ 350 -- vehicle components --
0EP	EDF	Installation differentiation for transmission Allison -- vehicle components --
0EQ	EDF	Installation differentiation for transmission AG5 -- vehicle components --
0ER	EDF	Installation differentiation for transmission AQ250 -- vehicle components --
0ES	EDF	Installation differentiation for transmission DQ250 -- vehicle components --
0ET	EDF	Installation differentiation for transmission Voith -- vehicle components --
0EU	EDF	Installation differentiation for transmission MQ500 -- vehicle components --
0EV	EDF	Installation differentiation for transmission "ZF" -- vehicle components --
0EW	EDF	Installation differentiation for transmission AQ450 -- vehicle components --
0EX	EDF	Installation differentiation for transmission DQ500 -- vehicle components --
0EY	EDF	Installation differentiation for transmission SQ 200 -- vehicle components --
0EZ	EDF	Installation differentiation for electric drive
0F0	KRS	Fuel system for gasoline injection engine, natural gas
0F1	KRS	Fuel system for SI engine, ethanol fuel
0F2	KRS	Fuel system for SI engine
0F3	KRS	Fuel system for diesel engine
0F4	KRS	Fuel system for turbo SI engine
0F5	KRS	Fuel system for diesel engine
0F6	KRS	Fuel system for turbo diesel engine withdirect injection (TDI)
0F7	KRS	Fuel system for naturally aspirated diesel engine with direct injection (SDI)
0F8	KRS	Cooled fuel system for diesel engine
0F9	KRS	Cooled fuel system for diesel engine
0FA	FAD	Standard manufacturing sequence
0FB	FAD	Pamplona manufacturing sequence
0FC	FAD	Brussels manufacturing sequence
0FD	FAD	SEAT manufacturing sequence
0FE	FAD	Ingolstadt manufacturing sequence
0FF	FAD	Neckarsulm manufacturing sequence
0FG	FAD	Mosel manufacturing sequence
0FH	FAD	Osnabrueck manufacturing sequence
0FJ	FAD	Curitiba manufacturing sequence
0FK	FAD	Bratislava manufacturing sequence
0FL	FAD	Mexico manufacturing sequence
0FM	FAD	Poland manufacturing sequence
0FN	FAD	Eurocar manufacturing sequence
0FP	FAD	Manufacturing sequence Indonesia
0FQ	FAD	Brazil manufacturing sequence
0FR	FAD	Taubate manufacturing sequence
0FS	FAD	China manufacturing sequence
0FT	FAD	Thailand manufacturing sequence
0FU	FAD	Taiwan manufacturing sequence
0FV	FAD	South Africa manufacturing sequence
0FW	FAD	Wolfsburg manufacturing sequence
0FX	FAD	Pacheco manufacturing sequence
0FY	FAD	Manufacturing sequence for Dresden
0FZ	FAD	Manufacturing sequence Urumqi
0G0	GES	Cable gearshift
0G1	GES	Gearshift lever
0G2	GES	Selector lever
0G3	GES	Gearshift linkage
0G4	GES	Cable gearshift
0G5	GES	Gearshift lever
0G6	GES	Tiptronic with rolling mode
0G7	GES	tiptronic
0G8	GES	Semi-automatic transmission
0G9	GES	Gearshift lever
0GA	AGM	Without special emission standard
0GB	AGM	Emission standard ECE 15/04
0GC	AGM	Emission standard, EC 97/68 Stage 5
0GD	AGM	Emission standard EU2 MVEG2
0GE	AGM	Emission standard EU3
0GF	AGM	Emission standard D3 EU3D
0GG	AGM	Emission standard EU4
0GH	AGM	Emission standard D4
0GI	AGM	Emission standard, EURO IV
0GJ	AGM	Emission standard US83
0GK	AGM	Emission standard Tier1
0GL	AGM	Emission standard TLEV
0GM	AGM	Emission standard LEV1
0GN	AGM	Emission standard ULEV1
0GP	AGM	Emission standard, EURO II
0GQ	AGM	Emission standard, EURO III
0GR	AGM	Emission standard EU3 D4
0GS	AGM	Emission standard EU3 (critical vapor pressure)
0GT	AGM	Emission standard SULEV
0GU	AGM	Emission standard EU2 as of MY01
0GV	AGM	Emission standard EU2 (critical vapor pressure)
0GW	AGM	Emission standard EU2 BR
0GX	AGM	Emission standard EU2 JP
0GY	AGM	Emission standard TIER1, for ME without OBD (derived from LEV/ULEV)
0GZ	AGM	Emission standard EU3, diesel with EOBD
0H0	ALA	Without sticker for permissible front and rear axle loads and gross vehicle weight rating
0H1	ALA	Sticker for permissible front and rear axle loads and gross vehicle weight rating
0H3	ALA	Sticker with curb weight and gross vehicle weight rating
0HA	AED	Vehicle class differentiation 1K0/5K0
0HB	AED	Vehicle class differentiation 1Y0
0HC	AED	Vehicle class differentiation 8P0
0HD	AED	Vehicle class differentiation 2K0
0HE	AED	Vehicle class differentiation 1ZD
0HF	AED	Vehicle class differentiation 1Z0
0HG	AED	Vehicle class differentiation 3C0
0HH	AED	Vehicle class differentiation 6T0
0HI	AED	Vehicle class differentiation -36D-
0HJ	AED	Vehicle class differentiation 1P0
0HK	AED	Vehicle class differentiation 6QD
0HL	AED	Vehicle class differentiation 1KE
0HM	AED	Vehicle class differentiation -1KM- Build status corresponds to production in Mexico
0HN	AED	Vehicle class differentiation 8J0
0HP	AED	Vehicle class differentiation 4F0
0HQ	AED	Vehicle class differentiation 5Z0
0HR	AED	Vehicle class differentiation 3W0
0HS	AED	Vehicle class differentiation 4BD
0HT	AED	Vehicle class differentiation 5P0
0HU	AED	Vehicle class differentiation 5M0
0HV	AED	Vehicle class differentiation 8K0
0HW	AED	Vehicle class differentiation 3Z0
0HX	AED	Vehicle class differentiation 4FD
0HY	AED	Vehicle class differentiation 6Q0- for build status South Africa
0HZ	AED	Vehicle class differentiation 5XD
0I0	KBV	Fuel tank
0I1	KBV	Fuel tank
0I2	KBV	Fuel tank
0I3	KBV	Fuel tank
0I4	KBV	Fuel tank
0I5	KBV	Fuel tank
0IA	EDF	Installation differentiation for transmission "DL702-8Q" -- vehicle components --
0IB	EDF	Installation differentiation for transmission "AL551-8Q" -- vehicle components --
0IC	EDF	Installation differentiation for transmission "DQ400" -- vehicle components --
0ID	EDF	Installation differentiation for transmission "AQ160" -- vehicle components --
0IE	EDF	Installation differentiation for transmission "DQ380" -- vehicle components --
0IF	EDF	Installation differentiation for transmission "DL382-7Q four-wheel drive,self-locking"
0IG	EDF	Installation differentiation for transmission "DL382-7A four-wheel drive,controlled, deactivatable"
0IH	EDF	Installation differentiation for transmission "AQ300" -- vehicle components --
0IJ	EDF	Installation differentiation for transmission "DQ381" -- vehicle components --
0IK	EDF	Installation differentiation for "MQ160"transmission -- vehicle components --
0IL	EDF	Installation differentiation for transmission "ML390" -- vehicle components --
0IM	EDF	Installation differentiation for transmission "ML410" -- vehicle components --
0IN	EDF	Installation differentiation for transmission "AL450" -- vehicle components --
0IP	EDF	Installation differentiation for transmission "AL550" -- vehicle components --
0J1	NUL	Reduced payload
0J2	NUL	Standard payload
0J3	NUL	Increased payload
0J4	NUL	Increased payload
0J5	NUL	Increased payload, for "Plus"
0J6	NUL	Reduced payload (Type 2)
0J7	NUL	Reduced payload (Type 3)
0J8	NUL	Increased payload
0JA	GKV	Weight category front axle weight range 1
0JB	GKV	Weight category front axle weight range 2
0JC	GKV	Weight category front axle weight range 3
0JD	GKV	Weight category front axle weight range 4
0JE	GKV	Weight category front axle weight range 5
0JF	GKV	Weight category front axle weight range 6
0JG	GKV	Weight category front axle weight range 7
0JH	GKV	Weight category front axle weight range 8
0JJ	GKV	Weight category front axle weight range 9
0JK	GKV	Weight category front axle weight range 10
0JL	GKV	Weight category front axle weight range 11
0JM	GKV	Weight category front axle weight range 12
0JN	GKV	Weight category front axle weight range 13
0JP	GKV	Weight category front axle weight range 14
0JQ	GKV	Weight category front axle weight range 15
0JR	GKV	Weight category front axle weight range 16
0JS	GKV	Weight category front axle weight range 17
0JT	GKV	Weight category front axle weight range 18
0JU	GKV	Weight category front axle weight range 19
0JV	GKV	Weight category front axle weight range 20
0JW	GKV	Weight category front axle weight range 21
0JX	GKV	Weight category front axle weight range 22
0JY	GKV	Weight category front axle weight range 23
0JZ	GKV	Without determination of weight categoryfor front axle
0K0	ASY	Without alternative drive system
0K1	ASY	Hybrid propulsion system
0K2	ASY	Gas drive system
0K3	ASY	Hybrid propulsion system PHEV
0K4	ASY	Hybrid propulsion system I-HEV
0K9	ASY	Drive system BEV
0KA	KAE	Without decals and emblems
0KB	KAE	Car of the Year
0KC	KAE	FIA- Manufacturers
0KD	KAE	Post-horn decals
0KE	KAE	Special label
0KF	KAE	Special label
0KG	KAE	"POSTDIENST DEUTSCHE BUNDESPOST" decals and labels for tire pressure data
0KH	KAE	"Unicef" decals
0KJ	KAE	"Deutsche Bahn AG" sticker (German Federal Railway)
0KK	KAE	"DBB-BAHNPOLIZEI" decals
0KL	KAE	"FUNKMESSDIENST" decals and label for tire pressure data
0KM	KAE	"Polizei" decals
0KN	KAE	DIN 14507 identification plate for fire department command vehicle
0KP	KAE	DIN 14502 identification plate for fire department
0KQ	KAE	Labels for tire pressure data
0KR	KAE	Made in Brazil
0KS	KAE	"Barcelona" decals
0KT	KAE	Special label
0KU	KAE	"Allstar" applications
0KV	KAE	Labels on C-pillar
0KW	KAE	Labels on B and C-pillar
0KX	KAE	"Special edition" label
0KY	KAE	Special label
0KZ	KAE	Decals for special editions
0L0	GAB	Mechanical throttle control
0L1	GAB	Mechanical throttle control with mass damper
0L2	GAB	Electronic throttle control
0L3	GAB	Mechanical throttle control and manual accelerator control
0LA	SIZ	Without special plates/labels/safety certificates
0LB	SIZ	With special plates/labels/ safety certificates for USA
0LC	SIZ	With special plates/labels/ safety certificates for Canada
0LD	SIZ	With special plates/labels/ safety certificates for AGCC
0LE	SIZ	With special plates/labels/ safety certificates for Sweden
0LF	SIZ	With special plates/labels/ safety certificates for Switzerland
0LG	SIZ	With special plates/labels/ safety certificates for Japan
0LH	SIZ	With special plates/labels/ safety certificates for Australia
0LJ	SIZ	With special plates/labels/ safety certificates for France
0LK	SIZ	With special plates/labels/ safety certificates for Italy
0LL	SIZ	With special plates/labels/ safety certificates for England
0LM	SIZ	With special plates/labels/ safety certificates for California
0LN	SIZ	With special plates/labels/ safety certificates for Norway
0LP	SIZ	With special plates/labels/ safety certificates for Taiwan
0LQ	SIZ	With special plates/labels/ safety certificates for Denmark
0LR	SIZ	With special plates/labels/ safety certificates for Finland
0LS	SIZ	With special plates/labels/ safety certificates for Greece
0LT	SIZ	With special plates/labels/ safety certificates for Spain
0LU	SIZ	With special plates/labels/ safety certificates for Belgium
0LV	SIZ	With special plates/labels/ safety certificates for pre-production
0LW	SIZ	With special plates/labels/ safety certificates for Germany
0LX	SIZ	With special plates/labels/ safety certificates for Portugal
0LY	SIZ	With special plates/labels/ safety certificates for the Netherlands
0LZ	SIZ	With special plates/labels/ safety certificates for Luxembourg
0M0	KBV	Fuel tank
0M1	KBV	Fuel tank
0M2	KBV	Fuel tank
0M3	KBV	Fuel tank
0M4	KBV	Fuel tank
0M5	KBV	Fuel tank
0M6	KBV	Fuel tank
0M7	KBV	Fuel tank
0M8	KBV	Fuel tank
0M9	KBV	Fuel tank
0MA	AED	Vehicle class differentiation -4V0-
0MB	AED	Vehicle class differentiation -6W1-
0MC	AED	Vehicle class differentiation -624-
0MD	AED	Vehicle class differentiation -55D-
0ME	AED	Vehicle class differentiation -3ED-
0MF	AED	Vehicle class differentiation 5GB-
0MG	AED	Vehicle class differentiation -GA0-
0MH	AED	Vehicle class differentiation 3GD
0MI	AED	Vehicle class differentiation 2PB-
0MJ	AED	Vehicle class differentiation 2PL-
0MK	AED	Vehicle class differentiation 8VB-
0ML	AAS	Vehicle class differentiation -3HD-
0MM	AAS	Vehicle class differentiation -18D-
0MN	AAS	Vehicle class differentiation -15G-
0MP	AED	Vehicle class differentiation -3GB-
0MQ	AED	Vehicle class differentiation F3G-
0MR	AED	Vehicle class differentiation -55R-
0MS	AED	Vehicle class differentiation -6VD-
0MT	AED	Vehicle class differentiation -55A-
0MU	AED	Vehicle class differentiation 2GA-
0MV	AED	Vehicle class differentiation 1SC-
0MW	AED	Vehicle class differentiation -3VD-
0MX	AED	Vehicle class differentiation -3CG-
0MY	AED	Vehicle class differentiation -3CN-
0MZ	AED	Vehicle class differentiation -5TD-
0N0	HIA	4-link rear suspension
0N1	HIA	Standard rear axle
0N2	HIA	Heavy-duty rear axle
0N3	HIA	Standard rear axle
0N4	HIA	4-link rear suspension
0N5	HIA	Standard rear axle
0N6	HIA	Standard rear axle
0N7	HIA	Heavy-duty rear axle (design 2)
0N9	HIA	Lightweight rear axle
0NA	SZU	Without nameplate set (without model designation)
0NB	SZU	Nameplate set in basic style
0NC	SZU	Black nameplate set in base trim
0ND	SZU	Nameplate set "TDI"
0NE	SZU	Nameplate set "GL"
0NF	SZU	Nameplate set "GT"
0NG	SZU	Nameplate set "V6 2.8"
0NH	SZU	Nameplate set "GTI"
0NI	SZU	Nameplate set "Blue TDI"
0NJ	SZU	Nameplate set "V6"
0NK	SZU	" TGI Ecomotive "
0NL	SZU	"ExpressProfi"
0NM	SZU	Without engine designation and nameplateset
0NN	SZU	Nameplate set "2.0 T"
0NP	SZU	Nameplate set
0NQ	SZU	Nameplate set "GLI"
0NR	SZU	Nameplate set "MSI"
0NS	SZU	Nameplate set "Trend"
0NT	SZU	"Surf"
0NU	SZU	Nameplate set with torque indication
0NV	SZU	Nameplate set "2.5"
0NW	SZU	Nameplate set "TSI"
0NX	SZU	Nameplate set "V6 3.0"
0NY	SZU	Nameplate set "1.2"
0NZ	SZU	Nameplate set "I-MOTION"
0P0	AER	Rear exhaust tailpipe (standard)
0P1	AER	Rear side exhaust tailpipe
0P2	AER	Exhaust tailpipe with trim
0P3	AER	Sports tailpipe of polished stainless steel
0P4	AER	Exhaust tailpipe, double-flow
0P5	AER	Rear exhaust tailpipe (oval)
0P6	AER	Rear exhaust tailpipe
0P7	AER	Rear side exhaust tailpipe
0P8	AER	Exhaust system (exhaust sound)
0P9	AER	Rear exhaust tailpipe
0PA	SZU	Without nameplate set
0PB	SZU	Nameplate set "Passat Alltrack"
0PC	SZU	Nameplate set "TURBO S"
0PD	SZU	Nameplate set "TURBO"
0PE	SZU	Nameplate set "Edition"
0PF	SZU	Nameplate set "Sports"
0PG	SZU	Nameplate set "1.8"
0PH	SZU	Nameplate set V6 TDI 3.0
0PI	SZU	Nameplate set
0PJ	SZU	Nameplate set "R"
0PK	SZU	Nameplate set "FSI"
0PL	SZU	Nameplate set
0PM	SZU	Multi Fuel
0PN	SZU	"Crossover" nameplate set
0PP	SZU	Nameplate set "BlueMotion"
